state_name;district_name;Total No. of JobCards issued;Total No. of Workers;Total No. of Active Job Cards;Total No. of Active Workers;SC workers against active workers;ST workers against active workers;Approved Labour Budget;Persondays of Central Liability so far;SC persondays;ST persondays;Women Persondays;Average days of employment provided per Household;Average Wage rate per day per person(Rs.);Total No of HHs completed 100 Days of Wage Employment;Total Households Worked;Total Individuals Worked;Differently abled persons worked;Number of GPs with NIL exp;Total No. of Works Takenup (New+Spill Over);Number of Ongoing Works;Number of Completed Works;% of NRM Expenditure(Public + Individual);% of Category B Works;% of Expenditure on Agriculture & Agriculture Allied Works;Total Exp(Rs. in Lakhs.);Wages(Rs. In Lakhs);Material and skilled Wages(Rs. In Lakhs);Total Adm Expenditure (Rs. in Lakhs.)
ANDHRA PRADESH;Y.S.R;265245;472373;198061;371530;87036;6098;7100000;6579138;1368804;83378;4250267;47;242.390117;4814;138021;219783;2232;3;56005;47840;8165;51.72;51;24.97;25813.05602;15947.1803;8867.630471;998.24525
ANDHRA PRADESH;ANANTAPUR;323800;582624;259160;487015;99447;18307;9500000;8710993;1600406;354494;4868045;49;238.5444322;4059;176555;304566;3673;0;55267;45930;9337;52.95;48;35.02;31932.18643;20779.58879;10083.89815;1068.69949
ANDHRA PRADESH;KURNOOL;335662;621141;256394;508772;109013;6722;8100000;7471835;1508869;97747;4104371;41;267.8292994;2288;180221;316375;2746;5;47694;38804;8890;32.17;40;57.05;27963.49582;20011.76333;7110.858378;840.87411
ANDHRA PRADESH;ALLURI SITHARAMA RAJU;238959;461108;221625;440689;10188;402187;10700000;9887718;193274;9059971;5143752;52;253.535208;14162;188490;336435;3527;2;69937;60750;9187;25.56;78;51.58;39258.17076;25068.84639;13489.17105;700.15332
ANDHRA PRADESH;ANAKAPALLI;296188;456236;240744;395890;36815;17172;10800000;9875203;814501;393472;6797817;50;267.1586388;2926;195705;285372;3748;6;37021;31030;5991;66.37;57;13.94;32575.97821;26382.45791;5690.110151;503.41015
ANDHRA PRADESH;KONASEEMA;226438;346509;151887;251506;118692;2280;5000000;4620903;2269514;41204;2918652;38;267.1018619;1223;119151;169503;2742;2;32219;25935;6284;4.19;35;81.75;17256.2102;12342.51795;4521.214233;392.47802
ANDHRA PRADESH;ELURU;385524;679955;323493;596941;212027;52705;12000000;11259711;3974284;1151337;6498157;44;248.5597158;2716;254777;417475;3453;3;57475;51114;6361;54.41;52;33.58;37406.33875;27987.10567;8913.706125;505.52696
ANDHRA PRADESH;NTR;206605;363339;167654;310341;121001;22619;7700000;6971290;2726625;510984;4064797;48;252.3709198;2903;143689;244083;2457;2;37532;33893;3639;18.0;35;64.93;23384.1186;17593.50869;5524.792158;265.81775
ANDHRA PRADESH;BAPATLA;262811;456258;205856;383248;138540;13997;7200000;6588983;2364396;227665;3544945;40;245.3067328;5762;163994;284545;2148;1;49977;42571;7406;16.23;19;70.59;20820.11065;16163.21892;4246.807684;410.08405
ANDHRA PRADESH;PALNADU;329605;556195;252902;460073;122148;39504;7900000;7452661;1925267;657630;3994313;38;242.5270559;4699;191525;328503;2332;13;34784;31406;3378;19.19;19;72.57;24503.46999;18074.71931;5966.894873;461.85581
ANDHRA PRADESH;NANDYAL;295010;539558;213947;418418;119583;13601;6700000;6137259;1757505;256210;3706908;39;241.8015099;1696;155038;263747;2054;3;47430;42709;4721;27.02;33;62.66;20030.22535;14839.98493;4607.414413;582.82601
ANDHRA PRADESH;SRI SATHYA SAI;289486;514790;221833;422089;69867;25540;6400000;5912285;937493;425203;3239909;46;224.303383;6345;127124;216786;2893;0;47873;40179;7694;54.25;62;29.16;19946.80627;13261.45527;6001.257231;684.09377
ANDHRA PRADESH;ANNAMAYYA;265316;434366;207372;360390;72754;14059;7700000;7245164;1472679;304514;4262463;50;245.9095338;4714;143238;215691;1849;3;66035;51040;14995;49.45;70;31.46;24746.47668;17816.54902;6336.398176;593.52949
ANDHRA PRADESH;TIRUPATI;281398;479611;226901;407097;158795;32588;8300000;8111117;3301405;677027;5164707;49;261.7776819;13452;165444;250174;2617;16;44487;38054;6433;72.02;46;19.83;26721.24155;21233.09406;4865.056323;623.09117
ANDHRA PRADESH;PARVATHIPURAM MANYAM;214445;402688;192748;378124;46715;137114;9500000;8689240;1030221;3283542;5109136;52;242.4063426;7040;166212;283155;4021;1;51804;42668;9136;57.14;75;32.33;26437.10562;21063.26888;4871.476553;502.36019
ANDHRA PRADESH;KAKINADA;283299;455915;205451;350229;95669;8585;6000000;5528959;1614758;137777;2838441;37;244.5974224;869;146034;208423;3290;4;33835;27405;6430;43.19;44;47.09;18190.50398;13523.6912;4254.484036;412.32874
ARUNACHAL PRADESH;ANJAW;9059;11228;8580;10703;0;10545;440167;87148;0;85794;46135;17;508.9395855;0;5043;5063;0;4;201;201;0;2.52;0;39.27;626.352617;443.53067;179.075947;3.746
ARUNACHAL PRADESH;CHANGLANG;16238;32087;14765;30175;1;23936;781206;9743;8;9674;3979;16;908.6749461;0;603;603;0;49;543;511;32;0.0;0;39.38;359.1692375;88.5322;260.3270375;10.31
ARUNACHAL PRADESH;EAST KAMENG;32025;32602;29472;30039;1;30010;1570910;75604;20;75455;38249;18;312.2765859;0;4159;4161;5;8;416;392;24;0.0;0;65.91;1438.185642;236.09359;1182.972052;19.12
ARUNACHAL PRADESH;EAST SIANG;9225;16327;8184;14920;0;14906;329560;9157;0;9139;4747;13;483.3050126;0;688;688;0;85;163;162;1;2.45;10;0.0;72.0122454;44.25624;23.9160054;3.84
ARUNACHAL PRADESH;KAMLE;11982;13763;9474;11002;1;10997;558858;36934;0;36923;19442;16;343.7552391;0;2244;2245;5;33;144;144;0;15.49;0;26.94;135.72256;126.96256;0.96;7.8
ARUNACHAL PRADESH;KRA-DAADI;22651;28106;21268;26463;0;26457;1124666;264432;0;264380;138247;18;189.6922763;12;14455;14994;6;4;460;331;129;2.93;2;57.85;1257.04819;501.60708;739.10211;16.339
ARUNACHAL PRADESH;KURUNG KUMEY;21147;32123;20376;30974;22;30912;1009167;741343;398;740067;383019;38;189.6689184;20;19351;19464;18;0;422;422;0;5.21;0;44.17;1921.873314;1406.09725;492.0510636;23.725
ARUNACHAL PRADESH;LEPARADA;4551;9500;4236;9136;1;9134;213650;5665;0;5665;2495;6;299.7846425;0;938;1016;0;24;137;137;0;0.0;3;59.34;21.0808;16.9828;0.72;3.378
ARUNACHAL PRADESH;LOHIT;5583;7947;5397;7718;0;6995;267848;2660;0;2660;979;34;360.4045113;0;78;78;0;2;307;107;200;0.0;74;0.0;196.9341902;9.58676;181.5794302;5.768
ARUNACHAL PRADESH;LONGDING;6465;20319;6050;19440;0;19439;798297;146434;0;146392;54060;34;224.0284633;0;4221;6388;0;4;66;55;11;0.67;0;99.33;413.2557306;328.05384;75.92189057;9.28
ARUNACHAL PRADESH;LOWER DIBANG VALLEY;10787;21054;10464;20665;0;19519;505639;131799;0;125532;59317;13;295.7860985;0;9458;9479;5;0;400;394;6;2.04;19;59.76;479.109769;389.84312;84.08995904;5.17669
ARUNACHAL PRADESH;LOWER SIANG;5169;13218;4960;12801;0;12732;254672;46523;0;46283;21871;16;619.6779227;1;2820;3153;1;9;381;381;0;5.74;3;38.86;392.2657568;288.29276;100.0129968;3.96
ARUNACHAL PRADESH;LOWER SUBANSIRI;17441;31733;13025;23988;0;23975;592570;78326;0;78284;39298;16;298.2800603;0;4845;5162;15;108;380;379;1;6.54;0;36.32;304.1042498;233.63084;48.0284098;22.445
ARUNACHAL PRADESH;NAMSAI;16936;30456;16615;29958;0;10077;850987;326489;0;105757;97477;23;278.7507573;0;14088;14122;294;12;877;751;126;20.0;60;49.65;1124.08808;910.09056;209.82752;4.17
ARUNACHAL PRADESH;PAKKE KESSANG;6823;7182;6452;6808;0;6796;336046;69930;0;69930;38170;30;253.004719;0;2275;2275;2;2;90;90;0;0.0;0;16.64;282.80018;176.9262;103.19398;2.68
ARUNACHAL PRADESH;PAPUM PARE;24998;32303;24729;32005;6;31282;1240061;498189;130;495985;265343;31;193.2519747;0;15637;15750;4;3;563;563;0;16.57;0;22.2;1244.146739;962.76008;263.9981592;17.3885
ARUNACHAL PRADESH;SHI YOMI;3260;8194;2972;7633;0;7631;153328;6084;0;6084;2365;13;225.56476;0;448;510;0;27;82;77;5;0.0;0;24.18;16.00336;13.72336;0.0;2.28
ARUNACHAL PRADESH;SIANG;8984;14370;7416;12591;1;12587;378662;73779;0;73779;25303;37;281.0279131;0;1944;2265;0;23;254;253;1;0.5;0;3.38;278.8335248;207.339584;59.2639408;12.23
ARUNACHAL PRADESH;TAWANG;9333;15938;8904;15325;4;15316;456175;240340;88;240143;139695;29;238.2107173;0;8076;8120;11;4;365;346;19;44.7;0;30.16;693.4536375;572.515638;111.1579995;9.78
ARUNACHAL PRADESH;TIRAP;15328;40982;14387;38933;2;38926;540946;220406;0;220359;72379;23;229.6288123;9;9277;10093;0;1;779;703;76;3.03;8;79.31;909.7729105;506.11568;393.3812305;10.276
ARUNACHAL PRADESH;UPPER DIBANG VALLEY;2682;2790;2631;2724;10;2647;133252;88899;332;86565;49198;36;29.77563302;0;2461;2487;4;9;117;116;1;0.0;0;43.12;92.9969052;26.47024;66.5266652;0.0
ARUNACHAL PRADESH;UPPER SIANG;7817;8935;7366;8346;0;8341;351741;4095;0;4095;1889;12;1131.434432;0;338;338;0;15;226;225;1;0.0;0;55.0;171.522512;46.33224;116.090272;9.1
ARUNACHAL PRADESH;UPPER SUBANSIRI;30698;30808;29377;29487;7;29444;1224771;463975;61;463206;226940;22;380.7212458;0;20615;20635;219;4;756;732;24;0.33;0;59.3;2460.218923;1766.4514;648.9730228;44.7945
ARUNACHAL PRADESH;WEST KAMENG;11529;16534;10792;15671;0;15659;583717;56120;0;56115;20034;15;238.5533856;0;3597;3600;2;65;286;276;10;13.3;0;62.05;331.2526865;133.87616;193.8740265;3.5025
ARUNACHAL PRADESH;WEST SIANG;7354;19144;6416;17266;1;17261;303104;102796;15;102745;37212;21;246.568884;0;4725;5509;5;14;245;245;0;0.0;0;13.42;309.557224;253.46295;48.174274;7.92
ASSAM;DHUBRI;393651;754962;233583;503032;3633;390;987395;3538408;35265;4285;1626607;44;245.1126448;109;78750;147963;185;0;62634;42340;20294;7.43;93;10.67;9979.702648;8673.085432;1306.617216;0.0
ASSAM;KOKRAJHAR;255522;545132;148413;332724;5954;126473;2727919;2662110;48432;1296643;1384868;35;242.5290077;99;75739;120178;142;0;50259;40583;9676;3.33;91;40.36;7130.518407;6456.388966;674.1294411;0.0
ASSAM;BONGAIGAON;161325;356210;96350;232393;14297;3073;625009;1680218;120120;18551;783900;37;247.088083;50;45270;79238;77;0;48569;34017;14552;2.32;96;10.03;4151.618446;4151.618446;0.0;0.0
ASSAM;GOALPARA;225260;443100;125785;292240;9322;60390;1362564;1711690;78986;412177;880246;34;247.7490071;65;49156;80491;113;0;46279;30629;15650;3.14;96;18.01;4373.007097;4240.69498;132.3121174;0.0
ASSAM;BARPETA;311121;541893;192582;363767;9315;2706;1121949;2656526;130354;34318;1204121;36;245.6632507;97;73108;114854;822;0;70578;44121;26457;0.54;96;15.78;7551.282758;6526.108128;1025.17463;0.0
ASSAM;NALBARI;207842;352567;128915;241526;8512;5102;1218316;1949082;82978;56710;966896;30;247.3088894;55;63007;95235;43;0;35916;29579;6337;9.15;90;28.56;5038.786192;4820.253048;218.5331438;0.0
ASSAM;KAMRUP;369857;697819;182206;381059;24796;45346;2514470;2153786;188922;248481;1074119;32;252.3945117;53;67010;101593;96;0;57589;30886;26703;11.62;95;17.08;5531.479921;5436.037657;95.44226376;0.0
ASSAM;DARRANG;234818;454564;149576;326994;8222;1190;1049871;2317467;68036;10785;1119461;35;255.0073378;105;65348;115394;98;0;45702;19772;25930;17.6;95;14.49;6717.771076;5909.7109;808.0601757;0.0
ASSAM;SONITPUR;258910;330385;155339;211537;7106;11794;2686342;1568903;52042;99505;826990;25;241.2480575;12;61553;71086;27;0;33920;27468;6452;3.19;91;34.58;3945.626587;3784.948012;160.6785753;0.0
ASSAM;LAKHIMPUR;253112;501261;157067;358037;17392;87152;2650863;1870433;113167;496413;974401;28;242.0533449;111;66538;112891;96;0;41604;31949;9655;5.45;94;35.92;4893.442598;4527.44564;365.9969578;0.0
ASSAM;DHEMAJI;206347;449716;131667;321536;15413;146908;2756594;2108143;122214;1038680;1166810;33;234.4790899;171;63334;106158;113;0;34229;32055;2174;2.87;90;40.5;6154.834259;4943.15452;1211.679739;0.0
ASSAM;Morigaon;245635;433099;161058;313821;31541;36234;1752275;1705566;286862;323287;843572;33;243.616914;5;50257;79393;48;0;59213;44444;14769;1.64;96;4.7;5310.751891;4155.047256;1155.704635;0.0
ASSAM;NAGAON;414654;613794;241317;399010;19263;12655;2644527;2798487;166467;90881;1367704;26;242.1661727;50;104537;142025;330;0;69072;46844;22228;11.15;94;20.95;7105.740236;6776.988862;328.7513744;0.0
ASSAM;GOLAGHAT;223112;425007;145206;298517;15844;36115;2345516;1538556;143232;249285;784892;31;242.8871442;102;48791;76772;93;0;37438;30362;7076;8.19;93;14.5;3888.90691;3736.95473;151.9521795;0.0
ASSAM;JORHAT;170244;243772;91215;144297;8991;11344;2005458;928600;88068;100945;510819;23;243.8325152;55;39259;47625;46;0;18775;12124;6651;11.17;90;28.2;2264.228736;2264.228736;0.0;0.0
ASSAM;SIVASAGAR;136676;245699;84730;171398;9028;14158;1837677;1071569;88696;146667;560523;26;251.001998;43;39934;58054;130;0;18522;13350;5172;14.53;89;30.56;2765.2491;2689.6596;75.58949962;0.0
ASSAM;DIBRUGARH;220684;368226;155255;285504;9709;30106;2268007;1180163;56695;176930;627846;24;238.9778675;89;48563;69122;95;0;25215;14490;10725;5.42;86;30.56;2864.971722;2820.32837;44.64335205;0.0
ASSAM;TINSUKIA;225259;318300;123500;198629;3226;18244;2735152;1025393;22229;121667;551569;25;245.5591768;26;39905;50309;35;0;20033;14427;5606;3.75;87;35.12;2566.92405;2517.94661;48.97743968;0.0
ASSAM;KARBI ANGLONG;149658;262911;93825;181036;9947;134548;1179555;886890;38865;640328;508062;29;239.0399211;28;29715;39996;38;1;22133;19227;2906;16.24;82;17.45;2322.116664;2120.021156;202.095508;0.0
ASSAM;Dima Hasao;39096;85362;25638;59564;784;54134;329975;210479;3697;185496;86236;31;241.4535892;10;6756;9026;2;0;6161;5182;979;3.46;82;27.78;549.8260837;508.2091;41.61698373;0.0
ASSAM;KARIMGANJ;305409;389677;175843;245605;30026;2552;2562225;1769034;272699;19103;737209;27;233.9721742;226;65125;78255;55;0;45950;41756;4194;3.34;95;38.13;4169.07166;4139.047312;30.02434791;0.0
ASSAM;HAILAKANDI;165527;263618;119076;207434;15287;2625;2062528;1302469;131713;15806;481556;26;269.153288;22;48863;65310;85;0;25448;19727;5721;9.79;91;28.09;4297.249911;3505.638139;791.6117726;0.0
ASSAM;CACHAR;383829;469006;203039;261563;17274;3692;3179033;1505302;136955;26631;573065;29;240.6752899;5;50307;55921;37;0;57920;52681;5239;2.86;93;13.32;3632.712051;3622.889952;9.822098673;0.0
ASSAM;BAKSA;180050;289669;98574;171481;7420;74948;1683345;1248964;58388;502234;705540;27;236.3068162;17;45359;59328;117;0;34895;28618;6277;1.44;94;21.11;3288.491549;2951.387064;337.1044854;0.0
ASSAM;CHIRANG;138968;289247;90057;199127;12925;88988;1465260;1111631;84954;520018;579967;33;238.9690115;15;33539;52587;20;0;29563;26027;3536;4.34;92;13.76;2999.497644;2656.453612;343.0440324;0.0
ASSAM;KAMRUP (METRO);51646;96497;16487;35509;7601;10485;1018783;221837;50116;64549;123710;36;244.0091247;3;6127;9114;3;0;6419;4354;2065;0.76;95;7.17;544.8094508;541.302522;3.5069288;0.0
ASSAM;UDALGURI;237407;431433;142164;280721;11916;111478;2795158;1840327;80024;830096;977414;31;243.9059815;44;58068;82992;51;0;49364;38972;10392;4.71;92;16.03;4978.292963;4488.667632;489.625331;0.0
ASSAM;Biswanath;180052;289904;117067;209207;16073;40494;2809846;1554156;138223;328366;850875;28;244.5059549;87;53807;78667;304;0;27821;21547;6274;8.2;91;27.38;4011.570428;3800.003968;211.56646;0.0
ASSAM;HOJAI;173583;283449;98754;174488;21691;5423;1246798;1182935;120186;34145;559192;30;242.4220413;32;38757;56379;302;0;29431;25720;3711;2.6;93;27.78;3221.381344;2867.695174;353.6861702;0.0
ASSAM;CHARAIDEO;87865;144843;48549;90117;1617;2481;958718;521315;14215;21695;273797;28;244.4021599;284;18301;25339;31;0;7763;4215;3548;3.22;84;51.52;1282.488468;1274.10512;8.383347693;0.0
ASSAM;SOUTH SALMARA-MANKACHAR;145693;176823;80294;102009;1140;703;525259;1274238;11777;11554;648188;24;254.6440429;65;52689;62511;222;0;30048;26344;3704;2.51;97;14.61;3332.260059;3244.77116;87.48889875;0.0
ASSAM;MAJULI;36025;58948;29042;50601;5706;24047;701497;387849;50319;163320;184580;24;262.8207885;33;15576;23842;22;0;8063;6569;1494;6.1;92;26.13;1020.270751;1019.3478;0.922951374;0.0
ASSAM;BAJALI;70938;142867;44201;98090;2506;2171;385668;641272;27361;23908;302978;34;239.6953366;10;18462;32252;122;0;18894;13405;5489;0.0;95;8.44;2096.162729;1537.099079;559.0636502;0.0
ASSAM;WEST KARBI ANGLONG;63268;111414;31804;59771;1699;44272;578513;191472;6330;134641;107124;26;230.0338849;3;7340;10006;5;0;7020;5840;1180;4.53;92;13.09;442.734235;440.45048;2.283755;0.0
ASSAM;TAMULPUR;123470;215958;65849;132251;17296;52776;1227935;635953;96177;242122;344440;23;240.0479844;3;27484;40518;8;0;21480;19161;2319;3.63;91;21.16;1783.732823;1526.592358;257.1404652;0.0
BIHAR;PATNA;418863;497937;237590;279214;51581;1290;4140700;3097555;487779;13452;1526711;34;247.475311;84;90247;95958;156;5;30152;23858;6294;13.32;62;45.17;11010.95894;7665.683871;3259.633699;85.64137
BIHAR;NALANDA;468962;618727;226864;286633;76255;588;6061100;4952659;1053941;9393;2546774;41;239.4657006;664;117975;130889;234;0;25665;17362;8303;7.74;46;47.96;16718.76564;11859.91958;4755.687386;103.15868
BIHAR;BHOJPUR;462313;612559;168344;198556;35444;2294;3518980;2103699;320154;23336;890320;32;242.257485;169;65186;72181;60;2;30631;20274;10357;11.33;81;72.28;7624.727702;5096.36829;2461.155352;67.20406
BIHAR;ROHTAS;397318;502635;220284;290628;78540;5446;3976700;2745906;621509;52573;1113980;31;235.8238411;197;88214;97932;130;4;29910;18458;11452;16.42;62;67.82;10634.00378;6475.501003;4072.583316;85.91946
BIHAR;AURANAGABAD;533141;705500;256601;348336;118676;2703;6251700;4130668;1193512;42292;1990556;35;239.7205878;533;116203;129406;151;2;29141;18726;10415;55.13;61;33.1;13856.26735;9902.061609;3859.010835;95.19491
BIHAR;JEHANABAD;140219;195417;89576;124335;34212;788;2281500;2003349;524452;17518;1046387;39;236.7305252;529;51142;63948;129;2;10693;6280;4413;37.66;63;36.49;6473.920538;4742.53861;1687.842858;43.53907
BIHAR;GAYA;913992;1116440;425158;485297;173428;3575;10575500;5868012;1876149;43783;3344006;31;245.9704802;130;187596;195743;262;7;114620;72467;42153;26.12;77;42.2;23826.5835;14433.5773;9297.275504;95.7307
BIHAR;NAWADA;452378;502873;237951;260211;63049;2769;6910500;4169242;834876;36639;2387745;34;237.1332434;153;120791;124720;366;2;55221;31728;23493;26.7;84;42.11;13633.62509;9886.65878;3691.033695;55.93261
BIHAR;SARAN;807510;831959;282446;288874;38766;4109;6452301;3642229;479862;48579;1950723;34;245.738717;173;104352;105007;85;10;37145;25888;11257;8.53;64;51.22;13840.90525;8950.366815;4725.510006;165.02843
BIHAR;SIWAN;424123;489434;163112;186573;28696;9409;3582501;2693818;349673;151590;1355408;35;241.4915645;155;76332;79482;134;8;31943;21386;10557;15.2;76;59.44;9348.300375;6505.343234;2709.183021;133.77412
BIHAR;GOPALGANJ;365478;424343;127286;154793;21274;5704;2729902;2253825;309063;94500;1086464;37;241.3000579;189;60526;66836;158;2;15087;12417;2670;22.1;28;64.83;7299.280261;5438.48103;1807.574061;53.22517
BIHAR;PASHCHIM CHAMPARAN;763442;1065237;322143;474038;42899;33175;6193500;3323506;262761;275769;1690753;29;245.0607892;120;113656;133963;161;2;41231;30665;10566;7.46;66;58.69;13260.65544;8144.610033;5064.520415;51.52499
BIHAR;PURBI CHAMPARAN;1022040;1242305;475538;599774;79760;7212;8019100;6695881;1139239;137420;3667677;32;244.8561381;188;203283;222000;188;11;34415;28742;5673;9.59;52;55.18;23903.453;16395.27563;7424.033243;84.14413
BIHAR;SITAMARHI;639242;793773;299517;376700;71846;2549;5246700;4259245;1243321;39620;2272956;33;242.1143843;151;128462;145833;212;7;39062;30937;8125;8.65;66;64.64;14911.07314;10312.24481;4451.551177;147.27715
BIHAR;MUZAFFARPUR;751879;996619;315917;423852;61806;2608;5344000;5111258;747561;50257;2730371;34;242.320795;563;149638;176350;251;9;31650;20299;11351;15.78;61;58.89;15270.09831;12385.64102;2729.987601;154.46969
BIHAR;VAISHALI;388611;407287;222965;235839;39167;982;4688200;2603929;482733;12062;1475829;32;242.8149113;25;80639;82992;59;5;45838;31017;14821;4.75;79;69.68;9320.172898;6322.727893;2917.346905;80.0981
BIHAR;BEGUSARAI;448390;574241;184675;238855;29020;312;2832700;1807523;232733;2602;1004593;31;234.8584928;152;56489;63033;62;34;40255;29290;10965;20.66;59;54.28;7955.966567;4245.121275;3628.309183;82.53611
BIHAR;SAMASTIPUR;837414;1029634;406990;489834;83994;1782;8244289;5056515;1143251;19269;2943128;34;239.1570796;153;148049;160049;179;6;63122;46084;17038;9.28;54;51.68;20987.6374;12093.01361;8757.744267;136.87953
BIHAR;DARBHANGA;797331;1055775;354379;444592;60989;688;5538500;4570363;698932;11942;2680870;31;239.8231564;210;146362;158578;2225;11;39777;33765;6012;14.6;65;41.79;16522.83619;10960.78881;5412.467015;149.58037
BIHAR;MADHUBANI;885533;1193776;316885;425202;63828;1443;5141500;2996352;524984;13683;1825067;29;233.6147798;121;101117;112235;142;4;46718;31943;14775;20.86;84;39.19;11462.70209;6999.921127;4382.333635;80.44733
BIHAR;SAHARSA;513400;657267;284756;376207;48993;898;6633940;6324908;738797;12401;3456305;36;239.5299913;129;173849;199349;180;3;24924;14895;10029;7.95;78;72.13;16807.81435;15150.05158;1584.899833;72.86294
BIHAR;MADHEPURA;560672;796583;197232;294439;46818;2285;3429541;2148399;440711;15087;1242143;32;237.9613729;215;66430;78942;61;5;24878;17996;6882;2.47;84;65.25;8637.314121;5112.359756;3442.624985;82.32938
BIHAR;PURNIA;564890;742895;279256;375626;44291;9588;4398600;3401085;435677;91798;2017001;32;238.2776952;213;103708;119653;49;3;33761;24139;9622;4.2;75;55.82;12629.80605;8104.02695;4438.005235;87.77387
BIHAR;KATIHAR;460656;571238;308775;389956;33205;12668;6320701;4226187;419469;150671;2520585;30;251.4846057;207;139669;159248;147;5;27998;17484;10514;7.06;72;54.52;16165.51177;10628.20971;5462.38826;74.9138
BIHAR;KHAGARIA;314143;403368;116580;142723;17187;230;1499101;893287;187080;2563;526329;28;248.637834;21;31114;32332;12;1;18092;14477;3615;4.72;83;38.17;3737.859923;2221.049448;1481.589295;35.22118
BIHAR;MUNGER;180551;217056;120598;146848;14643;3213;2965100;2224211;196862;63858;1130059;39;235.5868844;139;56843;62250;257;2;16196;11609;4587;9.58;56;68.54;10632.14771;5239.949398;5352.562364;39.63595
BIHAR;BHAGALPUR;370607;459884;189901;234916;22415;5687;3962620;2427403;332649;94424;1198842;34;245.2736337;96;70643;79997;78;3;26842;21314;5528;5.16;67;67.9;9203.651845;5953.779542;3162.329173;87.54313
BIHAR;ARARIA;545348;709968;299645;407000;49630;5391;5628200;2869205;308472;33353;1688008;28;249.5263931;282;99151;120764;128;2;39551;23469;16082;4.17;75;30.08;12642.49598;7159.423746;5389.84886;93.22337
